Software Engineer (All experience levels welcome),tiney,Unavailable,"£90,000 a year"," 
 30 mins informal interview/coffee with another one of our engineers or a Product Manager.
 Up to £90k depending on experience, plus stock options.
",https://uk.indeed.com/rc/clk?jk=8c46a2b248c0b735&fccid=a3b18b7837153bdc&vjs=3
Quantitative Research Intern,Diadem Alpha Technologies,Unavailable,"From £3,000 a month"," 
 Write code to implement quantitative methods and develop software tools for the team.
 Collect, process, and analyze large datasets to identify patterns, trends,…
",https://uk.indeed.com/company/Diadem-Alpha-Technologies/jobs/Research-Intern-5794474d0dc160f2?fccid=ffb310c03f436e7c&vjs=3
Backend Engineer,Monzo,Unavailable,"£75,000 - £100,000 a year"," 
 You're interested in distributed systems and writing resilient software.
 Kafka for our asynchronous message queue.
 React for internal web dashboards.
",https://uk.indeed.com/rc/clk?jk=6bbb3251822c96c2&fccid=73da13d58dc1080c&vjs=3
Senior Full Stack Developer,HCL Tech,Unavailable,"£30,000 - £60,000 a year"," 
 When you are part of a $10 Bn company that’s been voted as the Top Employer by Forbes, you know you can take a few things granted.
",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6fhqT4KhXgDYi3ui4qJEwSzM9UgPOg0yHfLRWvp5S4itzElRkRM1Qb52izuoZZp3i1IQ6jAXQYSBEtjPnMDJQXFbqUFzvdIn4PXVR3u0goIEH8_ViaBpQ-clFSFzri6BUCGPj7NKcNNnJgqU6ej6o_C-ZMjppbjRejZh3f5MNJY50KTnsVq5uuZ_exMXsGRSpwhqTRDFC-LvMh26p5IWAYnVo4JAKoso8mjp0a06Bl_Qnq6gHPytIAIKD8WeTZDiKdRlqOrgqgrhX22IDNNx8qoY6V-lSD0zRLJdvrOd8T2-J2KjV-CP0G1f0SPB9u9ImmTBsMGhyOlrvOSnOToVGuGGEW6vtvpQ0zhVRAVdEZlwna-I2mjfNsyP9c8Gz93-ggyrMmU_b_KeXlWTwU0-pRb1pgHFtt07U4nBf8VWOk70TJMERU65mVBIjSwgZa8Ui1WXdpqAY24Se5_jjWOmnn1cb-xDezrHXmWFltR0yKToqnaBFU7cCmoTEo6Iz1O6V0JNYkEizO0Zd-Y1QdC2CcyUOpaFsjbNiUKZtw2QfH-BHgev5TDKB4H08e8LRHaYTGtZLTOmMXQ==&xkcb=SoAD-_M3MGxpqZ2zM50KbzkdCdPP&p=1&fvj=1&vjs=3
Software Developer,infinitude limited,Unavailable,"£33,000 - £38,000 a year"," 
 Software Development Engineer in Test in the Digital Platform UI team, you will be working collaboratively with experienced engineers , managers and business…
",https://uk.indeed.com/company/Infinitude-Limited/jobs/Software-Engineer-681eed963064defc?fccid=1dc05e6fb6000c7d&vjs=3
Software Development Internship,Softwire,Unavailable,"£30,000 a year"," 
 Get a feel for life as a professional digital engineer, building real-world software.
 You and your intern colleagues will be exposed to the full delivery…
",https://uk.indeed.com/rc/clk?jk=fc63bf03940b5708&fccid=ea94cafa08dade11&vjs=3
Software Engineer,TATT 2 International,Unavailable,"£24,000 - £30,000 a year"," 
 We are looking for a dynamic and enthusiastic Software Engineer to join our system transformation programme.
 We are overhauling our ageing business and customer…
",https://uk.indeed.com/company/TATT-2-International/jobs/Software-Engineer-e81a07d72d7f2ec5?fccid=4042ad6cd3b46202&vjs=3
Research Software Engineer,British Antarctic Survey,Unavailable,"£39,748 - £50,790 a year"," 
 3 Year Fixed Term Contract.
 £39,748 - £50,790 Per Annum.
 BAS Cambridge with remote working options.
 British Antarctic Survey (BAS) delivers and enables world…
",https://uk.indeed.com/rc/clk?jk=9360649074c76c7d&fccid=23824bffb11219c6&vjs=3
Senior Full Stack Developer,HCL Tech,Unavailable,"£30,000 - £60,000 a year"," 
 When you are part of a $10 Bn company that’s been voted as the Top Employer by Forbes, you know you can take a few things granted.
",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6fhqT4KhXgDYi3ui4qJEwSzM9UgPOg0yHfLRWvp5S4itzElRkRM1Qb52izuoZZp3i1IQ6jAXQYSBEtjPnMDJQXFbqUFzvdIn4PXVR3u0goIEH8_ViaBpQ-clFSFzri6BUCGPj7NKcNNnJgqU6ej6o_C-ZMjppbjRejZh3f5MNJY50KTnsVq5uuZ_exMXsGRSpwhqTRDFC-LvMh26p5IWAYnVo4JAKoso8mjp0a06Bl_Qnq6gHPytIAIKD8WeTZDiKdRlqOrgqgrhX22IDNNx8qoY6V-lSD0zRLJdvrOd8T2-J2KjV-CP0G1f0SPB9u9ImmTBsMGhyOlrvOSnOToVGuGGEW6vtvpQ0zhVRAVdEZlwna-I2mjfNsyP9c8Gz93-ggyrMmU_b_KeXlWTwU0-pRb1pgHFtt07U4nBf8VWOk70TJMERU65mVBIjSwgZa8Ui1WXdpqAY24Se5_jjWOmnn1cb-xDezrHXmWFltR0yKToqnaBFU7cCmoTEo6Iz1O6V0JNYkEizO0Zd-Y1QdC2CcyUOpaFsjbNiUKZtw2QfH-BHgev5TDKB4H08e8LRHaYTGtZLTOmMXQ==&xkcb=SoAD-_M3MGxpqZ2zM50KbzkdCdPP&p=1&fvj=1&vjs=3
Software Developer,infinitude limited,Unavailable,"£33,000 - £38,000 a year"," 
 Software Development Engineer in Test in the Digital Platform UI team, you will be working collaboratively with experienced engineers , managers and business…
",https://uk.indeed.com/company/Infinitude-Limited/jobs/Software-Engineer-681eed963064defc?fccid=1dc05e6fb6000c7d&vjs=3
Software Development Internship,Softwire,Unavailable,"£30,000 a year"," 
 Get a feel for life as a professional digital engineer, building real-world software.
 You and your intern colleagues will be exposed to the full delivery…
",https://uk.indeed.com/rc/clk?jk=fc63bf03940b5708&fccid=ea94cafa08dade11&vjs=3
Software Engineer,TATT 2 International,Unavailable,"£24,000 - £30,000 a year"," 
 We are looking for a dynamic and enthusiastic Software Engineer to join our system transformation programme.
 We are overhauling our ageing business and customer…
",https://uk.indeed.com/company/TATT-2-International/jobs/Software-Engineer-e81a07d72d7f2ec5?fccid=4042ad6cd3b46202&vjs=3
